policy_chunk,name,chunk_id,heading_path,section_label,text,num_tokens,num_sentences,deterministic,probabilistic
de-montfort-university.md-8,de-montfort-university.md,8,CONTENTS > SCOPE,,"10. All research data of continuing value to the researcher and/or wider research community, or specified by funding bodies or publishers, or required for legal or other regulatory purposes, must be made openly available unless restrictions apply (see sections 16 and 17).

In the case of digital data, this may be achieved by depositing data to a specific domain repository (see section 11 below), or to the University data repository at",68,3,yes,yes
edinburgh-napier-university.md-10,edinburgh-napier-university.md,10,Scope of Policy > Responsibilities,,"1. Researchers must comply with funder data management requirements and are responsible for making themselves familiar with and adhering to legislation (including data protection and trusted research), contractual obligations and funder policies governing their research data.
2. Ensure they undertake training and cognisance of the guidance and support as offered by the University.
3. Seek to recover the direct costs of managing research data from the research funder where possible.
4. Researchers must ensure that active research data are stored securely and protected from loss. University approved systems such as the University networked storage system must be used for storing research data in both original and processed formats. The University has created a central research data file store for this purpose and will provide advice on technical solutions for research data storage and archiving.
5. Ensure that Metadata describing the structure and content of the data is routinely created and updated, whether manually or automatically, for project continuity purposes in line with University metadata standards and conventions guidance. At the end of the project, researchers will ensure that appropriately structured metadata describing the research data they hold is published (normally within 12 months of the data being generated) and made freely accessible on the internet.
6. Ensure data is stored for a period at least as long as that required by any funder or sponsor of the research. Research data must be retained after project completion if they substantiate research findings, are of potential long-term value or support a patent for at least 10 years.
7. Ensure research data that have been selected for retention are made openly available with as few restrictions as possible, unless this would breach legislative, regulatory, contractual, ethical or other obligations, or where the cost of doing so

would be prohibitive. Wherever possible, potential restrictions on data should be described in the project’s data management plan.",304,20,no,yes
eth-zurich.md-14,eth-zurich.md,14,Guidelines for Research Data Management at ETH Zurich (RDM Guidelines)1 > Preamble > Chapter 2: Research Data Management > Art. 7   Storage and Safeguarding,3,"For practical and cost reasons, such data can be moved, e.g. to inexpensive storage with ETH Zurich’s IT Services together with information on responsible contact persons and required retention periods. If for such data redundant storage in the available infrastructure is technically or economically not feasible, researchers must be able to fully recreate them using existing code and documentation if required.

The departments:

inform new researchers about the RDM Guidelines that are in force at ETH and, if applicable, at the level of the department; and

define processes for the case where a Research Group Leader leaves ETH or retires in order to prevent the loss of valuable data and to make sure that archiving periods are observed.

Research Group Leaders are responsible for good RDM practice in their research groups, platform, or facility. This implies in particular:",140,8,yes,yes
faculty-of-applied-sciences-at-technical-university-delft.md-10,faculty-of-applied-sciences-at-technical-university-delft.md,10,Faculty of Applied Sciences Research Data Management Policy > Faculty Roles and Responsibilities > Data Stewards are responsible for:,,". Facilitating the development, review and implementation of the faculty's data management policy.
: Creating awareness and explaining to researchers the added value of good data management.
. Assisting researchers in planning the collection, management, and publication of data in research projects and liaising with other service providers (such as Legal services, ICT, Human Research Ethics Committee) as required.
: Helping researchers with writing data management plans and with budgeting for research data management costs in their grant applications.
. Developing and running training events tailored to researchers' needs.
: Identifying researchers who already have good data management practices and encouraging them to become Data Champions7 to establish local contact points of expertise.
: Advising researchers on regulations for working with personal research data (in coordination with the ICT Privacy Team8 and Human Research Ethics Committee9).",130,10,yes,yes
faculty-of-technology-policy-and-management-at-the-technical-university-delft.md-15,faculty-of-technology-policy-and-management-at-the-technical-university-delft.md,15,"Faculty of Technology, Policy and Management Research Data Management Policy > Roles and Responsibilities within T P M > Data Stewards must:",,". Assist researchers in planning the collection, management, and publication of data in research projects and liaise with other service providers (such as Legal services, ICT, Human Research Ethics Committee) as required.
: Help researchers with writing data management plans and with budgeting for research data management costs in their grant applications.
. Develop and run training events tailored to researchers' needs.
: Lead the development, review and implementation of the faculty's data management policy.
: Create awareness and explain to researchers the added value of good data management.",85,7,yes,yes
faculty-of-technology-policy-and-management-at-the-technical-university-delft.md-19,faculty-of-technology-policy-and-management-at-the-technical-university-delft.md,19,"Faculty of Technology, Policy and Management Research Data Management Policy > Colofon",,"The Faculty is comprised of three closely collaborating departments, each with a different perspective on addressing these complex societal challenges: systems, governance and values. The smart combination of these three perspectives is at the core of Comprehensive Engineering, and is the main thrust of the Faculty. The main application domains of the Faculty, in which the majority of its research projects can be clustered, are: energy, climate, mobility, ICT, water, and cyber.

T: +31 (0)15 27 89 801
Building 31
Jaffalaan 5

BX Delft

Nicolas Dintzner T: +31 (0)15 27 86 338 E: N.J.R.Dintzner@tudelft.nl Research Data Management Portal

Design: Nina Noordzij | Collage, Grou

Photograph: Getty Images",99,10,no,no
hasselt-university.md-30,hasselt-university.md,30,General policy plan on research data management at Hasselt University > 9. Storage and preservation of research data > Backup of research data during the research project,,"A backup is essential to safeguard important and valuable research data in case of loss of or damage to the data on the original carrier. If one makes use of the institutional facilities mentioned above, such backup strategy will be provided by default. However, if one chooses to make use of an external facility, the researcher himself/herself will be responsible for implementing a backup strategy. For more information, one should contact the Central Information Technology Service (CID).",78,4,yes,yes
hasselt-university.md-31,hasselt-university.md,31,General policy plan on research data management at Hasselt University > 9. Storage and preservation of research data > 9.3 Preservation of research data after the end of the research project,,"Research data that were generated or collected within the framework of a completed research experiment or analysis, and that the researcher considers to be valuable for (re)use, verification, valorization or data collection, should be preserved. Moreover, when the research data are part of a scholarly publication or patent application, they must be preserved in any case.",57,2,yes,yes
hasselt-university.md-35,hasselt-university.md,35,General policy plan on research data management at Hasselt University > 9. Storage and preservation of research data > 9.4 Preservation period,,"In addition, if the costs for data curation are in proportion to the academic, socio-cultural or economic added value of the (relevant) research data, the latter can be archived for the longer term, that is after the minimum preservation period of five years has elapsed. Such long-term preservation is only decided upon in close consultation with the researcher or his/her hierarchical responsible.",65,2,yes,yes
helmholtz-munich.md-1,helmholtz-munich.md,1,Research Data Policy of the  Helmholtz Center Munich > 1. Introduction,,"Due to the dynamics of the use of new analytical instruments, research data from current and also from already completed projects can generate additional value for future scientific projects. However, this can only be realized and protected if the data obtained is already protected against loss during the course of the project and if it remains reusable for future projects thanks to its format, the link with corresponding metadata and the assignment of persistent identifiers (DOI). Securing the research data obtained at the center for subsequent use is an essential prerequisite for future innovative (meta)analyses, e.g. to gain new knowledge on the complex interactions between environmental factors and human health.",112,4,yes,yes
huron-university-usa-in-london.md-11,huron-university-usa-in-london.md,11,VIII.   Institutional Strategy > Objective 1: Build RDM Awareness and Institutional Capacity,,"Promote the value and importance of data management
Increase awareness of the new Tri-Agency RDM requirements and the Tri-Agency Statement of
Principles on Digital Data Management
Survey the Huron research community to evaluate current RDM practices, gaps, and capacity
Identify needs for data storage, data deposit, and data security
Develop and implement an institutional framework to support RDM",60,6,yes,yes
iscte---instituto-universitario-de-lisboa.md-1,iscte---instituto-universitario-de-lisboa.md,1,iscte INSTITUTO UNIVERSITARIO DE LISBOA > RESEARCH DATA MANAGEMENT AND SHARING POLICY OF ISCTEINSTITUTO UNIVERSITÁRIO DE LISBOA,,"In the current research panorama, under constant evolution, the effective management of research data is of extreme importance for higher education institutions. Iscte - Instituto Universitário de Lisboa (Iscte) acknowledges the relevance of research data as a valuable resource sustaining the integrity and quality of its academic activities. In conformity with global best practice and committed to the guiding principles of Open Science of the European Commission and Fundação para a Ciência e a Tecnologia, I.P. (FCT), Iscte fully endeavours to foster a research environment that empowers its academic community to stand out in the generation, preservation and sharing of research data.

This Research Data Management and Sharing Policy reflects Iscte’s commitment to research integrity, innovation and social impact, while simultaneously contributing to the global dialogue on the responsible and effective management of research data.",139,5,yes,yes
iscte---instituto-universitario-de-lisboa.md-11,iscte---instituto-universitario-de-lisboa.md,11,iscte INSTITUTO UNIVERSITARIO DE LISBOA > Scope > Requirements,,"1. Requires the deposit, within the Zenodo repository Iscte community,7 of the necessary research data for the validation of the scientific research results produced at Iscte. The data should not only be accompanied by persistent identifiers (for example, Digital Object Identifier (DOI), Open Researcher and Contributor Identification (ORCID ID)), but must also be related to the publications and other outputs whenever possible (through DOI and/or Handle).8
2. Requires that the research data be managed in accordance with the FAIR principles, ensuring that they are findable, accessible, interoperable, and reusable.
3. Requires the research data’s availability under open access, with possible duly justified exceptions, in accordance with the principle of as open as possible, as closed as necessary. If the access to the data is not open, due to constraints of legal nature, privacy or other, the legitimate reasons justifying the restricted access should be described in the Data Management Plan. In any case, the metadata that ensure the data’s location must be provided.
4. Requires the availability of anonymous or anonymised research data, whenever the envisaged purposes of the research may be achieved in that form or, where it is necessary to make data of personal nature available, their provision in conformity with the General Data Protection Regulation and following the Guidelines for Researchers9 on Personal Data Protection in Scientific Research Activities at Iscte.
5. Requires the submission of the Data Management Plan10 within six months after the project starting date, on the respective Ciência-IUL project page, ensuring that the final version is up-to-date.
6. Requires the research data to be accompanied by all the necessary metadata for its reuse and validation. If applicable, information should be provided on the tools and instruments required for their reuse and validation (and, whenever possible, the actual tools and instruments should be provided).
7. Requires the definition of the rights of use of the research data through assignment of the appropriate licenses – CC BY or CC0 – or equivalent licenses.11
8. Requires the research data’s storage and processing in a secure environment, preferably using the institutional infrastructures,12 in order to prevent losses and unauthorised alterations, ensuring confidentiality whenever necessary.
9. Requires the preservation, for a period of 10 years after the project's completion, after the publication or public presentation of the research work, of the research data required for the validation of the research results or considered of value to the researcher or scientific community. However, the specifications of the funder, publisher, patent, legal requirements or other regulatory requirements should be fulfilled.
10. Requires the elimination or destruction of the research data in accordance with the legal and ethical requirements with special attention paid to their confidentiality and security.

Iscte-Instituto Universitário de Lisboa is responsible for:",452,26,yes,yes
johannes-kepler-university-linz.md-1,johannes-kepler-university-linz.md,1,Research Data Management Policy Guideline > Contents > 1. Objective,,"The Johannes Kepler University (JKU) acknowledges the fundamental significance of managing research data and related records needed to attain high-quality research and scientific integrity. Correct and easily accessible research data form the basis and essential component of any research activity. They also enable the research process or research results to be reviewed and justified, as well as subsequently used. The JKU strives to promote the highest standards in this respect in compliance with the FAIR principles in order to ensure the long-term value of research data for science, research and society. This policy guideline is designed to advise JKU scientists on how they handle research data.",108,5,yes,yes
karlstad-university.md-8,karlstad-university.md,8,Guidelines for Research Data Management at Karlstad University > 3. Foundational principles for research data management > 3.1 Public documents,,Research data shall be stored in an easily accessible way as long as they are deemed valuable for  further research and also be prepared for long-term storage and archiving in accordance with the regulations of the National Archives and the university’s guidelines.  Research data can only be disposed of if there is a rule allowing it. Disposal must follow the local rules on procedures at Karlstad University.,69,3,no,yes
kings-college-london.md-5,kings-college-london.md,5,II. Principles,,Research data is a valuable resource in its own right. It validates research findings and has long term value as a potential resource for future research and teaching. Good practice in research data management benefits the wider research community and enhances the public value of research by:,47,3,yes,yes
kth-royal-institute-of-technology.md-4,kth-royal-institute-of-technology.md,4,GUIDELINES > Guidelines on managing research data > 1 Managing research data > 1.1 Creating a data management plan,,"are a public document in accordance with the Swedish Freedom of the Press Act
(1949:105) and how this information is to be made available;
are a general document subject to confidentiality in accordance with the Swedish Public Access to Information and Secrecy Act (2009:400) and that management takes place to ensure that confidentiality is not prejudiced;
are security-protected and that in such cases management takes place in accordance with security protection legislation;
are collected in such a way that an ethical review needs to take place in accordance with the current Swedish Ethical Review Act (2003:460);
contain personal data and that in such cases processing takes place in accordance with data protection legislation and that processing is recorded in KTH’s personal data processing register;

have a future research value and should be preserved in the long term in accordance with the Swedish National Archives’ regulations (RA-FS 1999:1).

The regulatory framework for research data management with regard to preservation is described in KTH’s information management plan. The data management plan shall be designed on the basis of this.

The data management plan can be revised continuously throughout the research process.",189,10,no,yes
kth-royal-institute-of-technology.md-5,kth-royal-institute-of-technology.md,5,GUIDELINES > Guidelines on managing research data > 1 Managing research data > 1.2 Research data management in collaborations,,"When research takes place in collaboration with other actors, data management must be clarified in, or in connection with, the research collaboration agreement that should be concluded between the parties. This must specify who is responsible, whether there are any reasons for confidentiality and, in cases where intellectual property values arise, who has the access rights and ownership rights. If there is processing of personal data, responsibility for this must be clearly specified.

KTH strives to ensure that exclusive ownership rights to publish and reuse research data are not assigned to other actors, and that KTH retains access rights to use research data in future research and education.",108,4,yes,yes
leeds-trinity-university.md-1,leeds-trinity-university.md,1,Leeds Trinity University Research Data Management Policy > Introduction,,"meet the requirements of our funders
recognise the value and impact of our research data, to ourselves and others
improve the visibility of and our reputation for research and create opportunities for further research collaboration
encourage open enquiry and allow results to be independently tested, improving the overall quality of research.

Research data means information in digital, computer-readable format or paper based that:",64,5,yes,yes
london-school-of-hygiene--tropical-medicine-university-of-london.md-4,london-school-of-hygiene--tropical-medicine-university-of-london.md,4,Research Data Management Policy > 2 PURPOSE AND OVERVIEW,2.1,"The London School of Hygiene & Tropical Medicine (LSHTM) recognises research data as a valuable asset that forms the basis for rigorous scientific enquiry, serves as evidence of research conduct, and has the potential to support equitable partnerships and enable new and innovative research in public health.

This Research Data Management Policy (henceforth RDM Policy) sets out expectations for how researchers should manage and share research data under their control in accordance with good research practice.",75,2,yes,yes
loughborough-university.md-1,loughborough-university.md,1,Loughborough University Research Data Management Policy > Research Data Management Policy > Policy statements,,"1.   The University is committed to research excellence and integrity. As such, it seeks to promote high standards of research data management throughout the research data lifecycle.
2.   New research proposals from 9th September 2016 should include research data management plans or protocols in line with funders’ policies. In other instances, research data management plans are encouraged. All plans should include responsibilities for data collection, documentation and metadata, ethical and legal compliance, storage and backup, selection of data of long-term value, preservation and data sharing.
3.   Research data management plans should ensure that research data are available for access and re-use wherever appropriate and under appropriate safeguards.
4.   To enable research data to be discoverable and effectively re-used by others, sufficient metadata should be recorded and made openly available via the University data repository. The link to the repository can be found here:
5.   All research data of continuing value to the researcher and the wider research community, or specified by funding bodies, or required for legal or other regulatory purposes should be registered with the University, even that which is retained elsewhere, for example in an international data service or domain repository.
6.   Research data that may be of future historical interest, including data that substantiate research findings, should normally be offered and assessed for deposit and retention in an appropriate data service or domain repository, or the University data repository.
7.   The legitimate interests of the subjects of research data must be protected.
8.   Exclusive rights to reuse or publish research data should not be handed over to commercial publishers or agents without retaining the rights to make the data openly available for reuse, unless this is a condition of funding.
9.   Where any research is subject to any associated contractual arrangements and/or grant conditions that conflict with this policy, the provisions of such contractual arrangements and/or grant conditions will take precedence.",309,22,yes,yes
loughborough-university.md-3,loughborough-university.md,3,Loughborough University Research Data Management Policy > Research Data Management Policy > Policy statements > Researchers’ responsibilities,,"Researchers are required to comply with the conditions of their of their research funders’ data policies.
Researchers should ensure published results always include information on how to access the supporting data.
PIs should review their data holdings assessing their research value e.g. for potential future use in research and education, and wider applications for policy, commerce or public interests.
PIs should notify the University of their data holdings and supply the Data Asset Register (currently the University data repository) with metadata relating to their data.",86,5,yes,yes
lund-university.md-17,lund-university.md,17,Lund univeRsiTy > Guidelines concerning research data storage at the Faculties of Humanities and Theology > Research data storage procedures at the Faculties of Humanities and Theology,,"After assessing the preservation value, which is done in consultation between researchers and the head of department (see above), the IT unit transfers the documents deemed disposable after the retention period by the head of department to the corresponding folder at the intermediate archive of the Faculties of Humanities and Theology. The documents will automatically be disposed of at the end of the retention period. The documents that are to be preserved remain in the project folder, which is then transferred in its entirety to the storage solution for archived material.",91,3,no,yes
manchester-metropolitan-university-mmu.md-8,manchester-metropolitan-university-mmu.md,8,Manchester Metropolitan University Research Data Management Policy > Roles and Responsibilities > 4.5 Researcher’s Responsibilities,4.5.6,"The PI is responsible for appraising and preparing active data for archiving and reuse. Data that is shared should align with FAIR principles, use a suitable format to allow verification of published research findings, and be of long-term academic value.

The Pl is responsible for ensuring the research dataare suitably archived and shared in the University’s research repository (or appropriate alternative), subject to specific legal, contractual, ethical or regulatory requirements.

The PI is responsible for destroying data that cannot be retained due to legal requirements or that is not of long-term value as specified in the DMP.

The University is responsible for providing appropriate infrastructure for secure data storage through a centralised storage solution in order to ensure the safety, integrity and accessibility of live research data.

The University provides an archive and research repository for the archiving, sharing, and long-term preservation of research data.

The University is responsible for the provision of training, support and advice on research data management.

Data sharing should be considered at the beginning of the project and provision outlined in the DMP.",182,8,yes,yes
medizinische-universität-graz.md-2,medizinische-universität-graz.md,2,MU,,"<html><body><table>MedizinischeUniversitätGraz
Term/Abbreviation Meaning
Third A natural or legal person, authority, institution, or other body that does not belong to MedUniGraz.ThisalsoincludestheSteiermarkischeKrankenanstaltenGesmbh (KAGes, the Styrian Hospital Association) and the LKH-Univ.-Klinikum Graz (University Hospital Graz).
FAIR principles According to the“FAlR Data Principles""(Guidelines on FAIR Data Management in Horizon 2020),research data should be ""Findable, Accessible,Interoperable,and Re- therefore, must be considered in the context of research data management and in the creation of research data management plans. However, this does not mean that the re-use of data must always be free of charge or made possible for anyone who wishes to do so.
Researchdata Research data encompasses all information required to support or validate the origin, history, outcome, observations, or findings of a research activity. These are created over the course of scientific projects, e.g. through digitisation, records, experiments, characteristics and can go through different phases over their life cycles (e.g. raw data, processed data, released data, published data).
Researchdata management Research data management includes all activities associated with the collection, documentation, storage, provision, archiving and, if necessary, destruction of research data. It encompasses all phases of the research process. The data management plan is
FOG s //www.ris.bka.gv.at)
Good Scientific Practice ""Good scientific practice embraces all the procedures and practices that are necessary for planning, conducting and reporting research and scholarship within a framework of scientific integrity."" (Extracted from the ESF Policy Briefing ""Good Scientific Practice in Research and Scholarship"", p. 5). Standards for good scientific practice thus cover documentation, publication and authorship. They also apply to the supervision of students and young scientists and to questions about cooperation and shared responsibility in research groups. Med Uni Graz has defined its standards for good
forschung/pdf/RichtlinieGoodScientificPracticeEN.pdf/ Personaldataincludeinformationthatrelatestoanidentifiedoridentifiablenatural
person, e.g. their name, address, date of birth, national insurance number, patient ID, or health data.
Repository data. Its primary purpose is to ensure that these data are available, citable and reusable for a limited or an unlimited period of time. Appropriate rights and licence (e.g. project-internal, inter-project and public) and to define their access and usage

Term/Abbreviation Meaning
Rightofdisposal The right of disposal is the right to use, modify, assign value to an (in-)tangible asset andtoretaintheresultingprofitsortheobligationtobearlosses.",385,27,yes,yes
medizinische-universität-graz.md-3,medizinische-universität-graz.md,3,MU Medizinische Universitat Graz > Preamble,,"The Medical University of Graz (Med Uni Graz) recognises the fundamental importance of research data management, including the importance of maintaining the accompanying records, to ensure high-quality research and scientific integrity. It strives to promote the highest standard in this regard in accordance with the FAIR principles. Accurate, easily retrievable and traceable research data are a fundamental and integral part of any scientific research activity. These data are also essential in that they allow research processes and results to be reviewed and defended, among other things. Research data are of lasting value to research and teaching, opening up the potential for their broad use by members of society.

Research data shall be handled exclusively in accordance with the applicable national and international legal provisions.",125,6,yes,yes
middlesex-university.md-3,middlesex-university.md,3,Research Data Management > 1. Introduction,,"Individual funding councils such as Engineering and Physical Sciences Research Council (EPsRc)' and Economic and Social Research Council (EsRc)' have updated research data policy statements to set out responsibilities of both the individual researcher and research institutions. While other funders are not explicit in their expectations there is an implicit

Research Data Management can be described as ""..an explicit process covering the creation and stewardship of research materials to enable their use for as long as they retain value”6",79,3,yes,yes
newcastle-university.md-1,newcastle-university.md,1,Newcastle University Research Data Management Policy Principles & Code of Good Practice,,"olicy Principles 1. The project Principal Investigator (PI) at Newcastle University has overall responsibility for the appropriate storage, treatment (including making data sets suitable for publication) and security of research project data. PIs may delegate discrete responsibilities to other members of the project team and this should be recorded. 2. All research projects are encouraged to create a data management plan at the earliest practical stage of a project. The plan should outline a project’s approach to data, including costs and be reviewed regularly to ensure that practice remains in-line with expected standards. 3. All University staff are responsible for making themselves familiar with and adhering to legislation, funder guidance and University policy governing their research data. 4. The University expects that data (particularly personal data) be protected in line with both external and internal standards and discipline specific practice. The PI has responsibility for ensuring the safeguarding of personal identifiable research data and compliance with all relevant legal requirements. 5. Researchers should deposit all significant archive research data in an appropriate funder mandated or discipline specific data repository. Where this is not available, data should be deposited in an approved centre / manner. 6. Published datasets should be comprehensive and have clear instructions for access, which adheres to data citation principles. Metadata (descriptive information) should be rich enough to facilitate discovery, reproduction and reuse. Personal data should be protected in line with the University’s Ethics Policy and Code of Good Practice. 7. Research data should remain available for 10 years following any publication (unless otherwise specified) after which retention will be reviewed. Metadata will be kept indefinitely. 8. Non-digital data or digital data that underpins a publication should be recorded in the University’s data catalogue as a metadata record. 9. The University undertakes to provide appropriate resources, training, support and guidance to researchers and research support staff around data management and data governance. Where appropriate, the University will also provide a mechanism to record research metadata and to manage access. 10. Where research data has a commercial value or supports a commercial output such as a patent then public disclosure of the data may be delayed (this should be agreed in consultation with Research Strategy and Development).",361,28,yes,yes
newcastle-university.md-20,newcastle-university.md,20,Newcastle University Research Data Management Policy Principles & Code of Good Practice > Code of Good Practice in Research Data Management > 8. Commercialisation,,"Where research data has, or may have, commercial value, Research Strategy and Development should be consulted at the earliest possible stage. They will assist in assessing the value of the data, provide advice on the exploitation of any opportunities and whether publication of the data should be delayed or access restricted.

Link to Research Strategy and Development Policies and Enterprise Teams

Each project should create and maintain a data management plan that details all key information on the project. For advice on this please see the additional resources.",88,5,yes,yes
newcastle-university.md-23,newcastle-university.md,23,Newcastle University Research Data Management Policy Principles & Code of Good Practice > Code of Good Practice in Research Data Management > 9. Active Storage & Data Security > 9.2. Non-digital Research Data,,"Wherever possible and appropriate non-digital research data should be digitised. If they cannot be digitised they should be stored securely in line with discipline best practice and digital metadata (information of data location and access conditions) provided at publication / project end.

The University mandates that the project data underpinning publications and data with acknowledged long-term value should remain accessible, and where appropriate discoverable, for at least 10 years.",69,3,yes,yes
newcastle-university.md-26,newcastle-university.md,26,Newcastle University Research Data Management Policy Principles & Code of Good Practice > Additional Resources,,"Relevant Policies
Planning guidance and examples of data management plans
Data storage and security
Preservation and sharing guidance
Training events and resources
List of recommended repositories and storage providers
Funder terms and conditions
Information Governance Toolkit
Contact details for relevant support

Security-sensitive materials in this case can be defined as:- a) Those which are covered by the Official Secrets Act (1989) and the Terrorism Act 2006. b) Materials which could be considered ‘extremist’ or incompatible with British values.",77,11,no,no
